,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Location
126076,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,172,Saturday,7,Part Two,ALBANY ST,"(42.34255919, -71.06270824)"
127311,2629,Harassment,HARASSMENT,B3,465,Sunday,3,Part Two,BAIRD ST,"(42.28574986, -71.09215334)"
127999,3125,Warrant Arrests,WARRANT ARREST,C6,206,Monday,0,Part Three,SLEEPER ST,"(42.35348229, -71.04814061)"
130334,2629,Harassment,HARASSMENT,D14,816,Sunday,16,Part Two,ARDEN ST,"(42.35892181, -71.12918866)"
132128,3201,Property Lost,PROPERTY - LOST,B2,306,Sunday,16,Part Three,CODMAN PARK,"(42.31904705, -71.09399992)"
133838,2629,Harassment,HARASSMENT,C11,357,Sunday,0,Part Two,CLAYBOURNE ST,"(42.29915578, -71.07252754)"
134226,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C11,381,Sunday,0,Part Two,GALLIVAN BLVD,"(42.28454300, -71.04531029)"
135895,3114,Investigate Property,INVESTIGATE PROPERTY,C11,388,Wednesday,14,Part Three,ADAMS ST,"(42.27282017, -71.06525771)"
137546,3115,Investigate Person,INVESTIGATE PERSON,E13,307,Sunday,0,Part Three,WARDMAN RD,"(42.31529421, -71.09486034)"
141559,619,Larceny,LARCENY ALL OTHERS,A1,66,Sunday,10,Part One,PHILLIPS ST,"(42.36027810, -71.06899805)"
141783,2629,Harassment,HARASSMENT,D14,785,Monday,12,Part Two,COLBORNE RD,"(42.34370944, -71.14686231)"
144490,1108,Fraud,FRAUD - WELFARE,B3,452,Sunday,0,Part Two,KENBERMA RD,"(42.29574022, -71.07322638)"
145728,3115,Investigate Person,INVESTIGATE PERSON,D4,167,Sunday,11,Part Three,E CANTON ST,"(42.33789065, -71.06919427)"
145947,617,Larceny,LARCENY THEFT FROM BUILDING,E13,643,Monday,14,Part One,POND ST,"(42.31429557, -71.11879121)"
145974,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,172,Saturday,7,Part Two,ALBANY ST,"(42.34255919, -71.06270824)"
146990,3501,Missing Person Reported,MISSING PERSON,C11,460,Monday,14,Part Three,COLUMBIA RD,"(42.30577465, -71.07948006)"
146991,3502,Missing Person Located,MISSING PERSON - LOCATED,C11,460,Monday,14,Part Three,COLUMBIA RD,"(42.30577465, -71.07948006)"
147009,1107,Fraud,FRAUD - IMPERSONATION,B3,435,Thursday,12,Part Two,ARMANDINE ST,"(42.28431486, -71.07410838)"
147066,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,586,Monday,12,Part Two,TERRACE ST,"(42.32746198, -71.09852527)"
149202,3201,Property Lost,PROPERTY - LOST,A7,27,Tuesday,14,Part Three,CLIPPER SHIP LN,"(42.36904410, -71.04120390)"
149483,724,Auto Theft,AUTO THEFT,E5,822,Sunday,11,Part One,GEORGETOWNE DR,"(42.25943465, -71.14798064)"
150238,1107,Fraud,FRAUD - IMPERSONATION,C6,213,Sunday,0,Part Two,W THIRD ST,"(42.33817983, -71.04773769)"
151073,2629,Harassment,HARASSMENT,E18,499,Thursday,12,Part Two,CANTERBURY ST,"(42.27868789, -71.11734430)"
151116,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B3,466,Friday,0,Part Two,GREENDALE RD,"(42.28553375, -71.09422962)"
151117,3201,Property Lost,PROPERTY - LOST,B3,466,Friday,0,Part Three,GREENDALE RD,"(42.28553375, -71.09422962)"
151281,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,C11,254,Friday,16,Part One,FREEPORT ST,"(42.30468252, -71.05627865)"
151577,617,Larceny,LARCENY THEFT FROM BUILDING,A1,89,Tuesday,10,Part One,FULTON ST,"(42.36293611, -71.05253795)"
151641,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C6,186,Friday,10,Part Two,MASSACHUSETTS AVE,"(42.32553801, -71.06579592)"
151889,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,584,Tuesday,17,Part One,FISHER AVE,"(42.32756936, -71.10181691)"
152735,613,Larceny,LARCENY SHOPLIFTING,D4,143,Thursday,18,Part One,BOYLSTON ST,"(42.34862382, -71.08277637)"
152750,613,Larceny,LARCENY SHOPLIFTING,D4,146,Sunday,19,Part One,HUNTINGTON AVE,"(42.34797240, -71.07849582)"
152755,613,Larceny,LARCENY SHOPLIFTING,D4,146,Sunday,14,Part One,HUNTINGTON AVE,"(42.34797240, -71.07849582)"
153035,2629,Harassment,HARASSMENT,E18,499,Monday,13,Part Two,AMERICAN LEGION HWY,"(42.27810693, -71.11636523)"
153067,3201,Property Lost,PROPERTY - LOST,C11,257,Friday,0,Part Three,SCHROEDER PLZ,"(42.33367922, -71.09187755)"
153338,423,Aggravated Assault,ASSAULT - AGGRAVATED,D14,792,Monday,19,Part One,KELTON ST,"(42.34650102, -71.13612792)"
153345,2629,Harassment,HARASSMENT,A7,26,Saturday,9,Part Two,BORDER ST,"(42.38093345, -71.04023929)"
153582,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,E5,563,Saturday,21,Part Two,WASHINGTON ST,"(42.29148517, -71.12275618)"
153646,2629,Harassment,HARASSMENT,D14,793,Tuesday,8,Part Two,COMMONWEALTH AVE,"(42.34802988, -71.13550939)"
154289,1107,Fraud,FRAUD - IMPERSONATION,A1,123,Sunday,0,Part Two,WASHINGTON ST,"(0.00000000, 0.00000000)"
154290,3201,Property Lost,PROPERTY - LOST,A1,123,Sunday,0,Part Three,WASHINGTON ST,"(0.00000000, 0.00000000)"
154326,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C6,177,Sunday,0,Part Two,NEW SUDBURY ST,"(42.36183857, -71.05976489)"
154814,3201,Property Lost,PROPERTY - LOST,B3,439,Tuesday,23,Part Three,CALLENDER ST,"(42.28855818, -71.08839470)"
154888,724,Auto Theft,AUTO THEFT,D4,273,Monday,0,Part One,NORTHAMPTON ST,"(42.33856624, -71.08074420)"
155218,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,553,Monday,0,Part Two,BEECHMONT ST,"(42.26884949, -71.12690978)"
155219,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A15,38,Sunday,12,Part Two,FIRST AVE,"(42.37749764, -71.05031219)"
155427,2647,Other,THREATS TO DO BODILY HARM,B2,238,Tuesday,10,Part Two,HUMPHREYS ST,"(42.31920512, -71.06676803)"
155445,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C11,344,Saturday,20,Part Two,WESTVILLE ST,"(42.30063034, -71.06888016)"
155490,3115,Investigate Person,INVESTIGATE PERSON,B2,280,Friday,13,Part Three,DUDLEY ST,"(42.32872589, -71.08382217)"
155541,3201,Property Lost,PROPERTY - LOST,A1,75,Tuesday,15,Part Three,PORTLAND ST,"(42.36423840, -71.06165515)"
156283,617,Larceny,LARCENY THEFT FROM BUILDING,E13,644,Saturday,9,Part One,CENTRE ST,"(42.30902100, -71.12059700)"
156452,1107,Fraud,FRAUD - IMPERSONATION,B3,408,Wednesday,0,Part Two,SANFORD ST,"(42.27341661, -71.07517409)"
156598,3018,Medical Assistance,SICK/INJURED/MEDICAL - POLICE,A1, ,Saturday,14,Part Three,BOYLSTON ST,"(0.00000000, 0.00000000)"
156720,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A7,29,Monday,19,Part Three,MAVERICK SQ,"(42.36943145, -71.03917179)"
156752,2629,Harassment,HARASSMENT,E18,501,Sunday,9,Part Two,CUMMINS HWY,"(42.27935533, -71.11750258)"
156793,2914,Violations,VAL - OPERATING W/O AUTHORIZATION LAWFUL,D14,814,Friday,12,Part Two,CAMBRIDGE ST,"(42.35825785, -71.12560096)"
157108,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C11,354,Wednesday,0,Part Two,NEWKIRK ST,"(42.29662295, -71.05491753)"
157159,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B3,445,Saturday,9,Part Two,GREENWOOD ST,"(42.29872425, -71.07977384)"
157275,619,Larceny,LARCENY ALL OTHERS,E13,570,Wednesday,0,Part One,FOREST HILLS ST,"(42.30301527, -71.10403314)"
157651,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C11,403,Sunday,0,Part Two,WASHINGTON ST,"(42.28096173, -71.07080703)"
157920,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A7,23,Tuesday,23,Part Two,BROOKS ST,"(42.37775189, -71.03431784)"
157973,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,E13,916,Tuesday,16,Part One,BICKFORD ST,"(42.32483301, -71.10164757)"
158016,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C6,925,Tuesday,0,Part Two,W NINTH ST,"(42.33316115, -71.05246437)"
158051,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C11,402,Sunday,11,Part Two,BAILEY ST,"(42.28340450, -71.07010617)"
158081,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,750,Monday,8,Part Three,COMMONWEALTH AVE,"(42.34013878, -71.16082232)"
158194,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,485,Monday,15,Part Two,RIVER ST,"(42.26361661, -71.10332183)"
158543,2629,Harassment,HARASSMENT,A1,65,Thursday,13,Part Two,BLOSSOM ST,"(42.36169720, -71.06685878)"
158544,1107,Fraud,FRAUD - IMPERSONATION,A1,79,Tuesday,0,Part Two,N WASHINGTON ST,"(42.36611988, -71.05845188)"
158598,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,600,Saturday,20,Part Two,HUNTINGTON AVE,"(42.33700200, -71.09714001)"
158649,802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,152,Wednesday,9,Part Two,WARREN AVE,"(42.34453911, -71.07358770)"
158747,1107,Fraud,FRAUD - IMPERSONATION,B3,469,Tuesday,9,Part Two,MATTAPAN ST,"(42.27732507, -71.09483139)"
158825,3114,Investigate Property,INVESTIGATE PROPERTY,C11,403,Sunday,13,Part Three,DORCHESTER AVE,"(42.27974294, -71.06619970)"
158869,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,D4,143,Saturday,15,Part Two,EXETER ST,"(42.34909822, -71.07929618)"
158995,1001,Counterfeiting,FORGERY / COUNTERFEITING,D4,631,Monday,10,Part Two,COMMONWEALTH AVE,"(42.34903931, -71.09933787)"
159113,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C11,342,Monday,8,Part Two,HOMES AVE,"(42.30288397, -71.06918798)"
159369,1402,Vandalism,VANDALISM,C11,253,Sunday,0,Part Two,ELM ST,"(42.29999913, -71.05383633)"
159744,727,Auto Theft,AUTO THEFT - LEASED/RENTED VEHICLE,C11,254,Tuesday,7,Part One,FREEPORT ST,"(42.30468252, -71.05627865)"
160083,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C11,340,Sunday,10,Part Two,DRAPER ST,"(42.30540715, -71.06547135)"
160255,3208,Property Lost,PROPERTY - MISSING,C11,402,Sunday,10,Part Three,FULLER ST,"(42.28248068, -71.06981187)"
160295,724,Auto Theft,AUTO THEFT,C11,362,Tuesday,18,Part One,ALLSTON ST,"(42.29325616, -71.06724012)"
160354,3201,Property Lost,PROPERTY - LOST,E18,479,Thursday,0,Part Three,CUMMINS HWY,"(42.27112430, -71.10403416)"
160383,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D14,811,Tuesday,0,Other,WESTERN AVE,"(42.36322276, -71.13494592)"
160411,3201,Property Lost,PROPERTY - LOST,B2,585,Wednesday,8,Part Three,PARKER HILL AVE,"(42.33033485, -71.10749865)"
160489,724,Auto Theft,AUTO THEFT,B3,476,Wednesday,19,Part One,BLUE HILL AVE,"(42.26817397, -71.09387677)"
160553,2629,Harassment,HARASSMENT,A1,954,Sunday,8,Part Two,FULTON ST,"(42.36293611, -71.05253795)"
160593,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A1,120,Saturday,23,Part Two,PARK PLZ,"(42.35143483, -71.06969334)"
160635,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C11,823,Tuesday,13,Part Two,SAWYER AVE,"(42.31209619, -71.06084426)"
160637,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,C11,340,Friday,12,Part Two,DRAPER ST,"(42.30540715, -71.06547135)"
160649,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,320,Tuesday,9,Part Three,HOWLAND ST,"(42.31165937, -71.08424352)"
160671,1402,Vandalism,VANDALISM,E13,640,Monday,13,Part Two,GREEN ST,"(42.31143758, -71.10926363)"
160769,3201,Property Lost,PROPERTY - LOST,D4,149,Sunday,0,Part Three,COLUMBUS AVE,"(42.34563477, -71.07555367)"
160854,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,D4,158,Monday,8,Part Two,W DEDHAM ST,"(42.34186765, -71.07272215)"
161730,1201,Embezzlement,EMBEZZLEMENT,E18,521,Monday,14,Part Two,HYDE PARK AVE,"(42.25546877, -71.12417959)"
161785,1107,Fraud,FRAUD - IMPERSONATION,E13,636,Thursday,0,Part Two,PAUL GORE ST,"(42.32030543, -71.10966668)"
161845,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E5,735,Sunday,0,Part Two,ATWILL RD,"(42.28515253, -71.15908078)"
161938,619,Larceny,LARCENY ALL OTHERS,C11,243,Saturday,10,Part One,STOUGHTON ST,"(42.31526190, -71.06118848)"
162026,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,B2,319,Sunday,18,Part One,OLD COLONY AVE,"(42.32775523, -71.05256837)"
162071,3205,License Plate Related Incidents,M/V PLATES - LOST,C11,353,Saturday,11,Part Three,WILLIAM T MORRISSEY BLVD,"(42.29896518, -71.04944203)"
162085,3201,Property Lost,PROPERTY - LOST,B3,472,Thursday,11,Part Three,BROCKTON ST,"(42.27256733, -71.09746094)"
162124,301,Robbery,ROBBERY - STREET,A15,57,Tuesday,0,Part One,MONUMENT AVE,"(42.37490832, -71.06171012)"
162125,802,Simple Assault,ASSAULT SIMPLE - BATTERY,A15,57,Tuesday,0,Part Two,MONUMENT AVE,"(42.37490832, -71.06171012)"
162216,1109,Fraud,FRAUD - WIRE,C11,395,Friday,11,Part Two,BECKET ST,"(42.28123930, -71.06464269)"
162217,2647,Other,THREATS TO DO BODILY HARM,A15,42,Monday,15,Part Two,OLD IRONSIDES WAY,"(42.38020475, -71.05741400)"
162291,3620,Other,REPORT AFFECTING OTHER DEPTS.,D4,169,Monday,12,Part Three,E NEWTON ST,"(42.33671130, -71.07102057)"
162302,613,Larceny,LARCENY SHOPLIFTING,D4,146,Monday,10,Part One,HUNTINGTON AVE,"(42.34797240, -71.07849582)"
162365,3801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,124,Monday,8,Part Three,JOHN F. FITZGERALD SURFAC,"(42.35014256, -71.05973905)"
162473,614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,372,Sunday,0,Part One,PORT NORFOLK ST,"(42.29013554, -71.04065574)"
162598,613,Larceny,LARCENY SHOPLIFTING,D4,146,Sunday,12,Part One,HUNTINGTON AVE,"(42.34797240, -71.07849582)"
162605,3201,Property Lost,PROPERTY - LOST,B2,606,Saturday,13,Part Three,LAWN ST,"(42.32757423, -71.10738823)"
163156,2629,Harassment,HARASSMENT,E18,492,Monday,8,Part Two,HUNTINGTON AVE,"(42.26649191, -71.11658735)"
163260,522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,146,Thursday,10,Part One,SAINT BOTOLPH ST,"(42.34561901, -71.07990847)"
163327,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C6,177,Wednesday,12,Part Two,NEW SUDBURY ST,"(42.36183857, -71.05976489)"
163587,3114,Investigate Property,INVESTIGATE PROPERTY,E13,570,Saturday,23,Part Three,ROCKVALE CIR,"(42.30734156, -71.10544090)"
163946,3201,Property Lost,PROPERTY - LOST,A1,173,Monday,12,Part Three,ATLANTIC AVE,"(42.35218278, -71.05567880)"
163974,3802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY †DAMAGE,C11,460,Thursday,20,Part Three,BRINSLEY ST,"(42.30574304, -71.07851069)"
164004,2647,Other,THREATS TO DO BODILY HARM,A1,115,Wednesday,11,Part Two,ATLANTIC AVE,"(42.35043307, -71.05661862)"
164032,3502,Missing Person Located,MISSING PERSON - LOCATED,E13,576,Friday,10,Part Three,AMORY ST,"(42.31532445, -71.10427615)"
164068,2647,Other,THREATS TO DO BODILY HARM,E5,713,Monday,0,Part Two,GROVE ST,"(42.26442723, -71.15808937)"
164249,3201,Property Lost,PROPERTY - LOST,C11,377,Wednesday,0,Part Three,BOUTWELL ST,"(42.29106908, -71.05234007)"
164264,540,Commercial Burglary,BURGLARY - COMMERICAL - FORCE,B2,181,Sunday,17,Part One,SHIRLEY ST,"(42.32429973, -71.07034884)"
164266,1402,Vandalism,VANDALISM,E13,651,Saturday,18,Part Two,ROSEMARY ST,"(42.30423559, -71.11373036)"
164302,3115,Investigate Person,INVESTIGATE PERSON,E13,570,Saturday,23,Part Three,ROCKVALE CIR,"(42.30734156, -71.10544090)"
164307,3201,Property Lost,PROPERTY - LOST,B2,258,Tuesday,9,Part Three,COLUMBIA RD,"(42.31684532, -71.06556419)"
164312,1402,Vandalism,VANDALISM,B2,611,Monday,18,Part Two,FENWOOD RD,"(42.33611274, -71.10927826)"
164330,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E18,485,Sunday,0,Part Two,RIVER ST,"(42.26361661, -71.10332183)"
164344,3208,Property Lost,PROPERTY - MISSING,E18,544,Sunday,0,Part Three,SUMMER ST,"(42.26089606, -71.12488672)"
164356,3201,Property Lost,PROPERTY - LOST,B3,459,Tuesday,22,Part Three,COLUMBIA RD,"(42.30510150, -71.08083089)"
164575,724,Auto Theft,AUTO THEFT,B2,331,Thursday,17,Part One,BODWELL ST,"(42.31219754, -71.06972356)"
164576,735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B2,331,Thursday,17,Other,BODWELL ST,"(42.31219754, -71.06972356)"
164615,1106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,B3,463,Tuesday,12,Part Two,CALDER ST,"(42.29710452, -71.08807731)"
164621,2647,Other,THREATS TO DO BODILY HARM,B2,611,Saturday,12,Part Two,FENWOOD RD,"(42.33611274, -71.10927826)"
164823,3201,Property Lost,PROPERTY - LOST,B2,267,Tuesday,12,Part Three,FOREST ST,"(42.32747841, -71.07879693)"
165098,613,Larceny,LARCENY SHOPLIFTING,D4,143,Saturday,13,Part One,RING RD,"(42.34813158, -71.08027002)"
165231,2647,Other,THREATS TO DO BODILY HARM,B3,417,Tuesday,7,Part Two,MORA ST,"(42.28208198, -71.07364875)"
165312,3111,License Violation,LICENSE PREMISE VIOLATION,C6,222,Sunday,23,Part Three,E BROADWAY,"(42.33557815, -71.03867318)"
165313,802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,222,Sunday,23,Part Two,E BROADWAY,"(42.33557815, -71.03867318)"
165314,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,B2,606,Wednesday,0,Part Two,ELLINGWOOD ST,"(42.32852096, -71.10865289)"
165423,3006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D4,179,Tuesday,22,Part Three,MASSACHUSETTS AVE,"(42.33311189, -71.07276370)"
165439,3501,Missing Person Reported,MISSING PERSON,D4,620,Sunday,0,Part Three,BOYLSTON ST,"(42.34710196, -71.08841746)"
165440,3502,Missing Person Located,MISSING PERSON - LOCATED,D4,620,Sunday,0,Part Three,BOYLSTON ST,"(42.34710196, -71.08841746)"
165495,3201,Property Lost,PROPERTY - LOST,D4,618,Monday,10,Part Three,HEMENWAY ST,"(42.34146610, -71.09082781)"
165511,619,Larceny,LARCENY ALL OTHERS,B2,325,Saturday,12,Part One,DOVE ST,"(42.31545570, -71.07808193)"
165540,724,Auto Theft,AUTO THEFT,A15,38,Friday,12,Part One,EIGHTH ST,"(42.37474921, -71.05270605)"
165863,619,Larceny,LARCENY ALL OTHERS,D14,796,Friday,16,Part One,COMMONWEALTH AVE,"(42.35043273, -71.12710480)"
165892,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,561,Tuesday,8,Part Three,SYCAMORE ST,"(42.28499323, -71.12449367)"
165931,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E5,698,Tuesday,18,Part Three,STRATFORD ST,"(42.27835939, -71.14366997)"
165932,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,107,Friday,15,Part Two,FRANKLIN ST,"(42.35543089, -71.05767661)"
165950,619,Larceny,LARCENY ALL OTHERS,C11,362,Wednesday,8,Part One,ALLSTON ST,"(42.29325616, -71.06724012)"
166234,3115,Investigate Person,INVESTIGATE PERSON,B2,263,Friday,7,Part Three,DENNIS ST,"(42.32301955, -71.07481428)"
166248,3831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11, ,Tuesday,22,Part Three,COLUMBIA RD,"(0.00000000, 0.00000000)"
166299,617,Larceny,LARCENY THEFT FROM BUILDING,D4,617,Friday,15,Part One,HUNTINGTON AVE,"(42.33792266, -71.09526598)"
166332,1102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E13,581,Sunday,17,Part Two,CENTRE ST,"(42.32284485, -71.10384777)"
166344,3201,Property Lost,PROPERTY - LOST,C6,914,Tuesday,0,Part Three,OLD COLONY AVE,"(42.32557398, -71.05248130)"
166355,3201,Property Lost,PROPERTY - LOST,B3,420,Wednesday,12,Part Three,LORNA RD,"(42.27663372, -71.08527294)"
166357,619,Larceny,LARCENY ALL OTHERS,B2,288,Tuesday,1,Part One,MALCOLM X BLVD,"(42.33056715, -71.08806813)"
166358,802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,288,Tuesday,1,Part Two,MALCOLM X BLVD,"(42.33056715, -71.08806813)"
166362,619,Larceny,LARCENY ALL OTHERS,B2,263,Thursday,10,Part One,BLUE HILL AVE,"(42.32324394, -71.07642483)"
